# sample; mag1 in nT; mag2 in nT; grad in nT
7446660;43647.23424785216775;43683.31610391590948;-36.08185606375191
7446661;43646.18232717142382;43682.94133045220951;-36.75900328078598
7446662;43648.26847403209831;43683.20796824382705;-34.93949421172238
7446663;43649.63030095715658;43685.26177194866614;-35.63147099151065
7446664;43054.44041376893438;43024.64632573490962;29.79408803402086
7446665;nan;nan;nan
7446666;nan;nan;nan
7446667;nan;nan;nan
7446668;nan;nan;nan
7446669;nan;nan;nan
7446670;nan;nan;nan
7446671;nan;nan;nan
7446672;nan;nan;nan
7446673;nan;nan;nan
7446674;43322.93771651710995;43674.86693823256792;-351.92922171545666
7446675;43493.02124217467644;43683.52610827223543;-190.50486609755879
7446676;43564.97846270437003;43680.99471398117748;-116.01625127681079
7446677;43592.89112736010429;43681.39484156746767;-88.50371420735527
7446678;43610.14055167329207;43680.99311279856192;-70.85256112527017
7446679;43624.55408697736129;43686.66910720444866;-62.11502022709485
7446680;43628.63958390727930;43683.07250711667439;-54.43292320940087
7446681;43631.85041983468545;43683.17536565701448;-51.32494582232172
7446682;43635.98970019089757;43682.98621593283315;-46.99651574193376
